id,latitude,longitude,name,type,pm25,color,url,label,approx
3778,27.0892,-82.3625,[AirNow] Jackson Road (PM2.5=4.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3779,53.59617,8.09059,[EEA Germany] Jadebusen (PM2.5=1.97),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3780,12.920984,77.58491,[caaqm] Jayanagar 5th Block- Bengaluru - KSPCB (PM2.5=19),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3781,35.785664,-115.357086,[AirNow] Jean (PM2.5=6.2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3782,49.224144,4.0205536,[EEA France] Jean d Aulan (PM2.5=14.18),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3783,36.141876,-115.07874,[AirNow] Jerome Mack (PM2.5=7.2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3784,40.725452,-74.05229,[AirNow] Jersey City FH (PM2.5=-1.9),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3785,49.401596,15.610246,[EEA Czech Republic] Jihlava (PM2.5=6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3786,36.27059,-115.23828,[AirNow] Joe Neal (PM2.5=6.1),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3787,28.0903,-82.7008,[AirNow] John A. Chesnut Sr. (PM2.5=6.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3788,44.418,-118.9513,[AirNow] John Day Dayton St (PM2.5=20.5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3789,41.526886,-88.11647,[AirNow] Joliet (PM2.5=20.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3790,-43.0092,146.944,[Australia - Tasmania] Judbury (PM2.5=1),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3791,20.869444,-156.49242,[AirNow] KAHULUI (PM2.5=2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3792,42.2781,-85.5419,[AirNow] KALAMAZOO (PM2.5=18.5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3793,39.0242,-95.7114,[AirNow] KNI-Topeka (PM2.5=4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3794,38.0889,-88.625,[AirNow] KNIGHT_P (PM2.5=12.7),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3795,19.611916,-155.05504,[AirNow] KS Hawaii (PM2.5=3),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3796,30.736055,76.209694,[caaqm] Kalal Majra- Khanna - PPCB (PM2.5=34.19),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3797,49.722,13.618538,[EEA Czech Republic] Kamenny Ujezd (PM2.5=19),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3798,46.2094,-116.0275,[AirNow] Kamiah-ID (PM2.5=20.9),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3799,58.96415,5.72785,[Norway] Kannik (PM2.5=4.1),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3800,21.3236,-158.0886,[AirNow] Kapolei (PM2.5=0),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3801,32.6706,-94.1681,[AirNow] Karnack C85 (PM2.5=11.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3802,18.501175,73.81655,[caaqm] Karve Road Pune- Pune - MPCB (PM2.5=16),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3803,49.863796,18.551453,[EEA Czech Republic] Karvina (PM2.5=15),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3804,32.565,-96.3175,[AirNow] Kaufman C71 (PM2.5=10),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3805,36.4878,-117.871,[AirNow] Keeler (PM2.5=4.1),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3806,42.93052,-72.27233,[AirNow] Keene (PM2.5=2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3807,30.0411,-90.2728,[AirNow] Kenner (PM2.5=9.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3808,46.2183,-119.2015,[AirNow] Kennewick-Metaline (PM2.5=155.5),OpenAQ (3235),3,004400,https://openaq.org/,[OpenAQ] ,160
3809,49.2794,-122.9711,[AirNow] Kensington Park (PM2.5=41.4),OpenAQ (3235),1,004400,https://openaq.org/,[OpenAQ] ,40
3810,47.3861,-122.2302,[AirNow] Kent-James & Central (PM2.5=136.9),OpenAQ (3235),3,004400,https://openaq.org/,[OpenAQ] ,140
3811,43.682556,-114.37109,[AirNow] Ketchum (PM2.5=25.5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3812,54.304676,10.135158,[EEA Germany] Kiel-Bahnhofstr. Verk. (PM2.5=1.5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3813,20.7808,-156.4461,[AirNow] Kihei- Maui (PM2.5=5),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3814,36.5408,-82.5217,[AirNow] Kingsport (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3815,44.219868,-76.521126,[AirNow] Kingston (PM2.5=6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3816,-36.784653,-73.05206,[Chile - SINCA] Kingston College (PM2.5=8.1),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3817,24.432133,118.312256,[Taiwan] Kinmen (PM2.5=21),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3818,43.4419,-80.5044,[AirNow] Kitchener (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3819,54.0558,-128.6739,[AirNow] Kitimat Riverlodge (PM2.5=3),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3820,40.8142,-79.565,[AirNow] Kittanning (PM2.5=5.3),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3821,50.14386,14.101784,[EEA Czech Republic] Kladno-stred mesta (PM2.5=18),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
